Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
177,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Delhi,82.61,88.48,108.2,117.2,119.3,122.5
178,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Goa,88.11,95.64,123.6,119.3,117,117.4
179,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Gujarat,60.38,57.64,90.55,99.77,99.42,105
180,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Haryana,71.39,71.02,95.87,98.26,94.74,96.73
181,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Himachal Pradesh,65.09,74.09,97.87,104.3,103.3,109.3
182,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Jammu and Kashmir,73.99,85.67,103.2,112.9,117.8,118.7
183,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Jharkhand,62.42,76.98,98.91,104.2,100.9,102.9
184,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Karnataka,85.63,88.13,116.3,114.9,110.3,119.1
185,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Kerala,77.19,93.06,121.8,128.9,130.2,133.7
186,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Madhya Pradesh,61.83,64.53,79.68,96.03,93,98.33
187,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Maharashtra,72.56,73.47,99.43,115.6,108.9,112
188,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Manipur,93.49,90.79,125.3,127,124.7,129.7
189,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Meghalaya,75.55,81.45,116.8,114.8,116.2,120.2
190,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Mizoram,NA,141.2,120,133,127.9,114.8
191,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Nagaland,67.24,75.65,76.1,109,111.8,114.2
192,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Orissa,58.91,75.28,96.08,100.3,97.09,103.7
193,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Puducherry,79.76,98.89,121.5,123.4,120.7,121.6
194,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Punjab,70.52,74.92,95.3,111.8,117.7,111.4
195,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Rajasthan,57.89,62.79,90.45,100.3,102.3,103.9
196,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Sikkim,90.43,93.31,112.5,121.3,124.7,128.7
197,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Tamil Nadu,76.44,98.06,118.2,119.2,116.1,123.5
198,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Telangana,80.85,80.58,107.3,109.2,106.5,111
199,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,117,118.8
200,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Tripura,73.79,81.39,88.62,114.4,110.2,112.4
201,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Uttar Pradesh,60.03,71.71,105.2,107.5,103.2,106.4
