Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
618,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Himachal Pradesh,37.83,36.93,41.5,41.71,42.09,43.18
619,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Jammu and Kashmir,42.07,43.21,45.02,45.16,46.75,47.43
620,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Jharkhand,37.66,38.29,43.7,42.4,43.41,44.23
621,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Karnataka,51.52,50.16,54.79,50.53,51.87,49.21
622,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Kerala,52.8,50.79,55.04,57.88,59.08,59.44
623,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Madhya Pradesh,39.93,38.9,41.9,42.9,42.32,43.02
624,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Maharashtra,44.37,45.22,47.03,51.14,49.06,49.89
625,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Manipur,64.18,69.53,70,68.5,77.02,82.76
626,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Meghalaya,68.35,67.28,79.37,68.31,74.53,75.4
627,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Mizoram,NA,117.2,113.8,109.2,106.1,99.86
628,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Nagaland,55.85,60.03,60,60,71.44,78.87
629,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Orissa,40,43.01,46.18,46.13,47.66,46.96
630,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Puducherry,49.9,50.27,53.83,51.84,50.18,48.38
631,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Punjab,40.42,38.28,42.92,48.93,51.09,47.29
632,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Rajasthan,34.99,36.56,43.94,48.28,45.94,42.95
633,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Sikkim,52.87,53.27,53.99,58.17,57.97,56.27
634,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Tamil Nadu,51.55,52.05,55.01,53.19,52.53,53.15
635,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Telangana,39.2,47.66,54.6,57.5,53.5,54.29
636,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,50.21,55.57
637,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Tripura,52.99,53.19,54,47.87,53.37,63.32
638,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Uttar Pradesh,37.05,38.1,40.92,44.37,45.81,44.59
639,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),Uttarakhand,38.15,37.76,41.28,43.74,46.6,47.54
640,Annual Average Retail Prices of Gur,Unit - (Rs./Kg.),West Bengal,42.11,42.62,46.81,46.65,51.31,50.83
641,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Andaman and Nicobar,57.8,58.34,61.2,63.25,66.63,69.53
642,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Andhra Pradesh,42,42.28,44.4,49.43,55.38,57.94
643,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Arunachal Pradesh,60.59,60.18,60,62,68.07,69.38
644,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Assam,56,56,56,62.91,66.58,68.89
645,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Bihar,39.76,40.19,41.8,46.16,50.56,53.53
646,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Chandigarh,44,43.97,47.12,52.67,55.22,56.08
647,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Chhattisgarh,41.39,43.71,45.85,50.24,54.64,57.95
648,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Delhi,42,43.31,46,46.96,50.39,52.97
649,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Goa,50,50,50.94,48.48,51.42,56.88
650,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Gujarat,50.68,50.92,51.93,50.73,53.72,56.4
651,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Haryana,44.1,43.88,51.62,53.21,55.87,58.65
652,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Himachal Pradesh,34.56,38.8,42.1,46.52,49.98,52.16
653,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Jammu and Kashmir,40.32,42.41,43.44,49.06,51.01,51.12
654,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Jharkhand,42,42.17,44.89,49.06,52.23,55.98
655,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Karnataka,35.99,36.37,37.89,42.62,42.89,46.29
656,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Kerala,43.02,43.18,44.89,46.73,47.81,53.66
657,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Madhya Pradesh,44.64,45.78,47.69,52.8,56.64,56.6
658,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Maharashtra,39.76,40.25,40.49,46.46,52.03,56.21
659,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Manipur,83.33,70.2,50,53.06,57.47,55.57
660,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Meghalaya,61.81,55.48,63.17,64.49,67.61,71.01
661,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Mizoram,66.42,70.91,68.85,72.35,73.74,74.45
662,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Nagaland,52.17,63.09,65.75,67.58,68.55,69.28
663,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Orissa,34.09,36.34,43.57,46.08,47.51,50.83
664,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Puducherry,36,38.05,42,42.87,44,44.97
665,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Punjab,45.02,45.9,44.99,50.21,53.77,56.5
666,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Rajasthan,39.28,40.11,43.98,44.88,47.6,50.89
667,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Sikkim,47.01,47,55.2,57.89,61.78,61.99
668,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Tamil Nadu,36.26,41.3,43.08,42.14,41.63,43.27
669,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Telangana,39.83,44.5,52.07,54.29,56.9,61.72
670,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,53.37,58.29
671,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Tripura,40,45.15,55.01,64,67.36,71.05
672,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Uttar Pradesh,48,48.44,49.36,54.16,57.11,60.47
673,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),Uttarakhand,42.5,43.69,44.59,49.12,57.52,61.07
674,Annual Average Retail Prices of Milk,Unit - (Rs./Litre),West Bengal,39.25,39.53,40.34,46,47.33,54.36
675,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Andaman and Nicobar,208,224.2,302.1,453.7,314,307.3
676,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Andhra Pradesh,207.7,204.7,203.3,329.7,340.1,325.9
677,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Arunachal Pradesh,359.4,344.3,342.3,345,276.1,301.8
678,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Assam,200,200,200,199.1,211.2,248.4
679,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Bihar,208.8,221.3,236.9,297.3,286.8,276.1
680,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Chandigarh,220,220,223.7,230.7,235,271.7
681,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Chhattisgarh,198,200.2,212.2,289.5,304.6,290
682,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Delhi,235.6,239.4,244,234,229.1,239.8
683,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Goa,240,241.5,239.6,293.1,309.1,324
684,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Gujarat,211.2,210.5,209.8,286.6,323,323.2
685,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Haryana,218.7,205.2,210.1,252.9,259.8,235.8
686,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Himachal Pradesh,181,212.6,221.8,273.8,263.8,267.1
687,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Jammu and Kashmir,245.7,250.8,269.9,298.9,324.5,313.7
688,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Jharkhand,274,280,273.1,239.9,286.3,289.3
689,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Karnataka,239.5,260.8,283.5,315.9,322.1,303.5
690,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Kerala,179.6,187.6,200.4,238.7,238.8,233.9
691,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Madhya Pradesh,218,219.1,228.9,300.9,268.9,252.2
692,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Maharashtra,236.4,236.8,238,281.2,282.5,290.5
693,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Manipur,235.3,220.7,231.9,313.9,266.6,255
694,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Meghalaya,230.7,247.7,287.6,356.4,347.9,354.4
695,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Mizoram,360,347.4,350,122,184.3,209
696,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Nagaland,199,180,182.9,140,295.2,308.9
697,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Orissa,189.9,193.7,204.8,220.5,233.1,275.4
698,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Puducherry,250,250,251.4,297.3,320.7,371.9
699,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Punjab,205.6,206.1,216.8,277.6,290.9,276.7
700,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Rajasthan,214,198.9,218,266.1,278.1,301.3
701,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Sikkim,299.8,300,316.1,487.7,523.4,441.1
702,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Tamil Nadu,216.5,221.7,226.3,260.3,271.8,286.4
703,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Telangana,185.8,195.6,228,286.6,289.8,296.2
704,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,236,262.5
705,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Tripura,178,173.4,178,179.6,189.4,211
706,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Uttar Pradesh,196,194.3,204.9,278.8,275.5,244.4
707,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),Uttarakhand,207.1,211.1,230,242.2,266.9,260.9
708,Annual Average Retail Prices of Tea Loose,Unit - (Rs./Kg.),West Bengal,186,185.7,191.9,249.6,260.9,282.3
709,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Andaman and Nicobar,12,12.53,17.16,19.44,19.84,20.53
710,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Andhra Pradesh,13.39,13.59,14.43,16.63,19.13,21.13
711,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Arunachal Pradesh,14,13.34,12.89,13.29,19.43,18.95
712,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Assam,12,12,14.16,14.35,12.38,13.16
713,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Bihar,13.63,14.24,13.79,17.62,20.31,21.95
714,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Chandigarh,16,15.98,19.11,20.71,23.12,26.17
715,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Chhattisgarh,11.04,10.55,13.03,15.92,18.45,22.47
716,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Delhi,17.67,18.56,19.76,20.11,24.08,25.97
717,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Goa,17,18.78,16.6,18.64,22.3,23.76
718,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Gujarat,14.69,14.23,13.4,14.59,14.25,13.97
719,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Haryana,18.29,18,18.85,19.35,22.4,25.01
720,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Himachal Pradesh,17.85,18.9,20,20.73,24.41,27.03
721,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Jammu and Kashmir,18.37,19.49,20.29,21.32,22.77,25.46
722,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Jharkhand,18,18,19.89,18.31,20.26,23.7
723,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Karnataka,11.14,11.63,12.47,15.26,17.54,18.99
724,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Kerala,10.58,11.1,11.51,12.6,13.89,14.29
725,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Madhya Pradesh,15.14,14.53,14.53,16.85,18.25,18.81
726,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Maharashtra,16.5,16.15,17.67,20.34,21.28,23.35
727,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Manipur,15,15.05,15.34,17.55,13.78,18.96
728,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Meghalaya,17.74,18.28,19.2,19.85,22.04,23.14
729,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Mizoram,22,20.98,23.45,22.85,26.46,27.96
730,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Nagaland,11.07,10,10,13,17.23,17.65
731,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Orissa,17.67,18.66,19.77,20.44,23.38,25.23
732,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Puducherry,17.55,18.08,19,19,22.21,24.47
733,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Punjab,18.01,18.55,18.9,23.35,26.19,26.24
734,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Rajasthan,15.25,15.19,17.3,20.57,20.51,20.06
735,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Sikkim,17.99,18,18,16.99,17.5,18.78
736,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Tamil Nadu,17.22,17.41,17.89,19.12,22.18,24.49
737,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Telangana,13.2,12.55,14.63,17.05,17.66,18.02
738,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,23.23,23.87
739,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Tripura,19,19,19.85,10.03,10.22,10.36
740,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Uttar Pradesh,17.29,18.18,19.58,20.84,23.37,25.95
741,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),Uttarakhand,18,18.66,20,20.41,24.4,28.12
742,Annual Average Retail Prices of Salt Pack (Iodised),Unit - (Rs./Kg.),West Bengal,11.59,11.25,10.87,15.77,16.51,21.08
